Task,Layer,TopK,Metric,Value
math,19,2000,Shared,1987
math,19,3000,Unique,13
math,19,3000,Shared,2987
math,19,5000,Unique,12
math,19,5000,Shared,4988
math,20,50,Unique,1
math,20,50,Shared,49
math,20,100,Unique,7
math,20,100,Shared,93
math,20,500,Unique,7
math,20,500,Shared,493
math,20,1000,Unique,7
math,20,1000,Shared,993
math,20,2000,Unique,7
math,20,2000,Shared,1993
math,20,3000,Unique,7
math,20,3000,Shared,2993
math,20,5000,Unique,5
math,20,5000,Shared,4995
math,21,50,Unique,3
math,21,50,Shared,47
math,21,100,Unique,3
math,21,100,Shared,97
math,21,500,Unique,3
math,21,500,Shared,497
math,21,1000,Unique,3
math,21,1000,Shared,997
math,21,2000,Unique,3
math,21,2000,Shared,1997
math,21,3000,Unique,2
math,21,3000,Shared,2998
math,21,5000,Unique,2
math,21,5000,Shared,4998
math,22,50,Unique,7
math,22,50,Shared,43
math,22,100,Unique,7
math,22,100,Shared,93
math,22,500,Unique,6
math,22,500,Shared,494
math,22,1000,Unique,6
math,22,1000,Shared,994
math,22,2000,Unique,6
math,22,2000,Shared,1994
math,22,3000,Unique,5
math,22,3000,Shared,2995
math,22,5000,Unique,5
math,22,5000,Shared,4995
math,23,50,Unique,2
math,23,50,Shared,48
math,23,100,Unique,2
math,23,100,Shared,98
math,23,500,Unique,2
math,23,500,Shared,498
math,23,1000,Unique,2
math,23,1000,Shared,998
math,23,2000,Unique,1
math,23,2000,Shared,1999
math,23,3000,Unique,1
math,23,3000,Shared,2999
math,23,5000,Unique,1
math,23,5000,Shared,4999
math,24,50,Unique,0
math,24,50,Shared,50
math,24,100,Unique,0
math,24,100,Shared,100
math,24,500,Unique,0
math,24,500,Shared,500
math,24,1000,Unique,0
math,24,1000,Shared,1000
math,24,2000,Unique,0
math,24,2000,Shared,2000
math,24,3000,Unique,0
math,24,3000,Shared,3000
math,24,5000,Unique,0
math,24,5000,Shared,5000
math,25,50,Unique,0
math,25,50,Shared,50
math,25,100,Unique,0
math,25,100,Shared,100
math,25,500,Unique,0
math,25,500,Shared,500
math,25,1000,Unique,0
math,25,1000,Shared,1000
math,25,2000,Unique,0
math,25,2000,Shared,2000
