Task,Layer,TopK,Metric,Value
code,0,1000,Shared,471
code,0,2000,Unique,1105
code,0,2000,Shared,895
code,0,3000,Unique,1825
code,0,3000,Shared,1175
code,0,5000,Unique,3493
code,0,5000,Shared,1507
code,1,50,Unique,43
code,1,50,Shared,7
code,1,100,Unique,87
code,1,100,Shared,13
code,1,500,Unique,454
code,1,500,Shared,46
code,1,1000,Unique,633
code,1,1000,Shared,367
code,1,2000,Unique,686
code,1,2000,Shared,1314
code,1,3000,Unique,946
code,1,3000,Shared,2054
code,1,5000,Unique,2069
code,1,5000,Shared,2931
code,2,50,Unique,43
code,2,50,Shared,7
code,2,100,Unique,91
code,2,100,Shared,9
code,2,500,Unique,471
code,2,500,Shared,29
code,2,1000,Unique,692
code,2,1000,Shared,308
code,2,2000,Unique,721
code,2,2000,Shared,1279
code,2,3000,Unique,748
code,2,3000,Shared,2252
code,2,5000,Unique,996
code,2,5000,Shared,4004
code,3,50,Unique,49
code,3,50,Shared,1
code,3,100,Unique,94
code,3,100,Shared,6
code,3,500,Unique,485
code,3,500,Shared,15
code,3,1000,Unique,973
code,3,1000,Shared,27
code,3,2000,Unique,1915
code,3,2000,Shared,85
code,3,3000,Unique,2734
code,3,3000,Shared,266
code,3,5000,Unique,2803
code,3,5000,Shared,2197
code,4,50,Unique,48
code,4,50,Shared,2
code,4,100,Unique,92
code,4,100,Shared,8
code,4,500,Unique,461
code,4,500,Shared,39
code,4,1000,Unique,898
code,4,1000,Shared,102
code,4,2000,Unique,1800
code,4,2000,Shared,200
code,4,3000,Unique,2083
code,4,3000,Shared,917
code,4,5000,Unique,2153
code,4,5000,Shared,2847
code,5,50,Unique,41
code,5,50,Shared,9
code,5,100,Unique,89
code,5,100,Shared,11
code,5,500,Unique,361
code,5,500,Shared,139
code,5,1000,Unique,531
code,5,1000,Shared,469
code,5,2000,Unique,584
code,5,2000,Shared,1416
code,5,3000,Unique,614
code,5,3000,Shared,2386
code,5,5000,Unique,647
code,5,5000,Shared,4353
code,6,50,Unique,39
code,6,50,Shared,11
code,6,100,Unique,89
code,6,100,Shared,11
code,6,500,Unique,471
code,6,500,Shared,29
code,6,1000,Unique,708
code,6,1000,Shared,292
code,6,2000,Unique,798
code,6,2000,Shared,1202
code,6,3000,Unique,842
code,6,3000,Shared,2158
code,6,5000,Unique,881
code,6,5000,Shared,4119
code,7,50,Unique,40
code,7,50,Shared,10
code,7,100,Unique,88
code,7,100,Shared,12
code,7,500,Unique,467
code,7,500,Shared,33
code,7,1000,Unique,613
code,7,1000,Shared,387
code,7,2000,Unique,658
code,7,2000,Shared,1342
code,7,3000,Unique,686
code,7,3000,Shared,2314
code,7,5000,Unique,748
code,7,5000,Shared,4252
code,8,50,Unique,42
code,8,50,Shared,8
code,8,100,Unique,89
code,8,100,Shared,11
code,8,500,Unique,216
code,8,500,Shared,284
code,8,1000,Unique,239
code,8,1000,Shared,761
code,8,2000,Unique,267
code,8,2000,Shared,1733
code,8,3000,Unique,293
code,8,3000,Shared,2707
code,8,5000,Unique,336
code,8,5000,Shared,4664
code,9,50,Unique,41
code,9,50,Shared,9
code,9,100,Unique,89
code,9,100,Shared,11
code,9,500,Unique,196
code,9,500,Shared,304
code,9,1000,Unique,222
code,9,1000,Shared,778
code,9,2000,Unique,247
code,9,2000,Shared,1753
code,9,3000,Unique,275
code,9,3000,Shared,2725
code,9,5000,Unique,338
code,9,5000,Shared,4662
code,10,50,Unique,39
code,10,50,Shared,11
code,10,100,Unique,87
code,10,100,Shared,13
code,10,500,Unique,203
code,10,500,Shared,297
code,10,1000,Unique,231
code,10,1000,Shared,769
code,10,2000,Unique,262
code,10,2000,Shared,1738
code,10,3000,Unique,290
code,10,3000,Shared,2710
code,10,5000,Unique,342
code,10,5000,Shared,4658
code,11,50,Unique,42
code,11,50,Shared,8
code,11,100,Unique,91
code,11,100,Shared,9
code,11,500,Unique,260
code,11,500,Shared,240
code,11,1000,Unique,298
code,11,1000,Shared,702
code,11,2000,Unique,330
code,11,2000,Shared,1670
code,11,3000,Unique,367
code,11,3000,Shared,2633
code,11,5000,Unique,438
code,11,5000,Shared,4562
code,12,50,Unique,41
code,12,50,Shared,9
code,12,100,Unique,89
code,12,100,Shared,11
code,12,500,Unique,230
code,12,500,Shared,270
code,12,1000,Unique,249
code,12,1000,Shared,751
code,12,2000,Unique,290
code,12,2000,Shared,1710
code,12,3000,Unique,320
code,12,3000,Shared,2680
code,12,5000,Unique,385
code,12,5000,Shared,4615
code,13,50,Unique,40
code,13,50,Shared,10
code,13,100,Unique,88
code,13,100,Shared,12
code,13,500,Unique,251
code,13,500,Shared,249
code,13,1000,Unique,272
code,13,1000,Shared,728
code,13,2000,Unique,314
code,13,2000,Shared,1686
code,13,3000,Unique,339
code,13,3000,Shared,2661
code,13,5000,Unique,391
code,13,5000,Shared,4609
code,14,50,Unique,39
code,14,50,Shared,11
code,14,100,Unique,83
code,14,100,Shared,17
code,14,500,Unique,208
code,14,500,Shared,292
code,14,1000,Unique,234
code,14,1000,Shared,766
code,14,2000,Unique,262
code,14,2000,Shared,1738
code,14,3000,Unique,301
code,14,3000,Shared,2699
code,14,5000,Unique,385
code,14,5000,Shared,4615
code,15,50,Unique,40
code,15,50,Shared,10
code,15,100,Unique,85
code,15,100,Shared,15
code,15,500,Unique,152
code,15,500,Shared,348
code,15,1000,Unique,174
code,15,1000,Shared,826
code,15,2000,Unique,217
code,15,2000,Shared,1783
code,15,3000,Unique,248
code,15,3000,Shared,2752
code,15,5000,Unique,337
code,15,5000,Shared,4663
code,16,50,Unique,39
code,16,50,Shared,11
code,16,100,Unique,80
code,16,100,Shared,20
code,16,500,Unique,150
code,16,500,Shared,350
code,16,1000,Unique,175
code,16,1000,Shared,825
code,16,2000,Unique,211
code,16,2000,Shared,1789
code,16,3000,Unique,267
code,16,3000,Shared,2733
code,16,5000,Unique,341
code,16,5000,Shared,4659
code,17,50,Unique,35
code,17,50,Shared,15
code,17,100,Unique,76
code,17,100,Shared,24
code,17,500,Unique,151
code,17,500,Shared,349
code,17,1000,Unique,182
code,17,1000,Shared,818
code,17,2000,Unique,238
code,17,2000,Shared,1762
code,17,3000,Unique,302
code,17,3000,Shared,2698
code,17,5000,Unique,421
code,17,5000,Shared,4579
code,18,50,Unique,36
code,18,50,Shared,14
code,18,100,Unique,74
code,18,100,Shared,26
code,18,500,Unique,135
code,18,500,Shared,365
code,18,1000,Unique,161
code,18,1000,Shared,839
code,18,2000,Unique,211
code,18,2000,Shared,1789
code,18,3000,Unique,283
code,18,3000,Shared,2717
code,18,5000,Unique,366
code,18,5000,Shared,4634
code,19,50,Unique,37
code,19,50,Shared,13
code,19,100,Unique,76
code,19,100,Shared,24
code,19,500,Unique,150
code,19,500,Shared,350
code,19,1000,Unique,170
code,19,1000,Shared,830
code,19,2000,Unique,220
code,19,2000,Shared,1780
code,19,3000,Unique,270
code,19,3000,Shared,2730
code,19,5000,Unique,371
code,19,5000,Shared,4629
code,20,50,Unique,4
code,20,50,Shared,46
code,20,100,Unique,16
code,20,100,Shared,84
code,20,500,Unique,75
code,20,500,Shared,425
code,20,1000,Unique,75
code,20,1000,Shared,925
code,20,2000,Unique,75
code,20,2000,Shared,1925
code,20,3000,Unique,74
code,20,3000,Shared,2926
code,20,5000,Unique,72
code,20,5000,Shared,4928
code,21,50,Unique,6
code,21,50,Shared,44
code,21,100,Unique,7
code,21,100,Shared,93
code,21,500,Unique,108
code,21,500,Shared,392
code,21,1000,Unique,107
code,21,1000,Shared,893
code,21,2000,Unique,106
code,21,2000,Shared,1894
code,21,3000,Unique,106
code,21,3000,Shared,2894
code,21,5000,Unique,104
code,21,5000,Shared,4896
code,22,50,Unique,4
code,22,50,Shared,46
code,22,100,Unique,13
code,22,100,Shared,87
code,22,500,Unique,88
code,22,500,Shared,412
code,22,1000,Unique,88
code,22,1000,Shared,912
code,22,2000,Unique,86
code,22,2000,Shared,1914
code,22,3000,Unique,86
code,22,3000,Shared,2914
code,22,5000,Unique,83
code,22,5000,Shared,4917
code,23,50,Unique,2
code,23,50,Shared,48
code,23,100,Unique,14
code,23,100,Shared,86
code,23,500,Unique,47
code,23,500,Shared,453
code,23,1000,Unique,47
code,23,1000,Shared,953
code,23,2000,Unique,47
code,23,2000,Shared,1953
code,23,3000,Unique,47
code,23,3000,Shared,2953
code,23,5000,Unique,45
code,23,5000,Shared,4955
code,24,50,Unique,8
code,24,50,Shared,42
code,24,100,Unique,21
code,24,100,Shared,79
code,24,500,Unique,39
code,24,500,Shared,461
code,24,1000,Unique,39
code,24,1000,Shared,961
code,24,2000,Unique,39
code,24,2000,Shared,1961
code,24,3000,Unique,39
code,24,3000,Shared,2961
code,24,5000,Unique,39
code,24,5000,Shared,4961
code,25,50,Unique,10
code,25,50,Shared,40
code,25,100,Unique,17
code,25,100,Shared,83
code,25,500,Unique,17
code,25,500,Shared,483
code,25,1000,Unique,17
code,25,1000,Shared,983
code,25,2000,Unique,17
code,25,2000,Shared,1983
code,25,3000,Unique,17
code,25,3000,Shared,2983
code,25,5000,Unique,17
code,25,5000,Shared,4983
code,26,50,Unique,8
code,26,50,Shared,42
code,26,100,Unique,9
code,26,100,Shared,91
code,26,500,Unique,9
code,26,500,Shared,491
code,26,1000,Unique,9
code,26,1000,Shared,991
code,26,2000,Unique,9
code,26,2000,Shared,1991
code,26,3000,Unique,9
code,26,3000,Shared,2991
code,26,5000,Unique,9
code,26,5000,Shared,4991
code,27,50,Unique,11
code,27,50,Shared,39
code,27,100,Unique,14
code,27,100,Shared,86
code,27,500,Unique,14
code,27,500,Shared,486
code,27,1000,Unique,14
code,27,1000,Shared,986
code,27,2000,Unique,14
code,27,2000,Shared,1986
code,27,3000,Unique,14
code,27,3000,Shared,2986
code,27,5000,Unique,13
code,27,5000,Shared,4987
code,28,50,Unique,7
code,28,50,Shared,43
code,28,100,Unique,15
code,28,100,Shared,85
code,28,500,Unique,33
code,28,500,Shared,467
code,28,1000,Unique,32
code,28,1000,Shared,968
code,28,2000,Unique,31
code,28,2000,Shared,1969
code,28,3000,Unique,31
code,28,3000,Shared,2969
code,28,5000,Unique,31
code,28,5000,Shared,4969
code,29,50,Unique,5
code,29,50,Shared,45
code,29,100,Unique,6
code,29,100,Shared,94
code,29,500,Unique,6
code,29,500,Shared,494
code,29,1000,Unique,6
code,29,1000,Shared,994
code,29,2000,Unique,6
code,29,2000,Shared,1994
code,29,3000,Unique,6
code,29,3000,Shared,2994
code,29,5000,Unique,6
code,29,5000,Shared,4994
code,30,50,Unique,5
code,30,50,Shared,45
code,30,100,Unique,12
code,30,100,Shared,88
code,30,500,Unique,12
code,30,500,Shared,488
code,30,1000,Unique,12
code,30,1000,Shared,988
code,30,2000,Unique,12
code,30,2000,Shared,1988
code,30,3000,Unique,12
code,30,3000,Shared,2988
code,30,5000,Unique,12
code,30,5000,Shared,4988
code,31,50,Unique,4
code,31,50,Shared,46
code,31,100,Unique,8
code,31,100,Shared,92
code,31,500,Unique,8
code,31,500,Shared,492
code,31,1000,Unique,8
code,31,1000,Shared,992
code,31,2000,Unique,8
code,31,2000,Shared,1992
code,31,3000,Unique,8
code,31,3000,Shared,2992
code,31,5000,Unique,8
code,31,5000,Shared,4992
code,32,50,Unique,5
code,32,50,Shared,45
code,32,100,Unique,9
code,32,100,Shared,91
code,32,500,Unique,9
code,32,500,Shared,491
code,32,1000,Unique,9
code,32,1000,Shared,991
code,32,2000,Unique,8
code,32,2000,Shared,1992
code,32,3000,Unique,8
code,32,3000,Shared,2992
code,32,5000,Unique,8
code,32,5000,Shared,4992
code,33,50,Unique,6
code,33,50,Shared,44
code,33,100,Unique,6
code,33,100,Shared,94
code,33,500,Unique,16
code,33,500,Shared,484
code,33,1000,Unique,16
code,33,1000,Shared,984
code,33,2000,Unique,16
code,33,2000,Shared,1984
code,33,3000,Unique,16
code,33,3000,Shared,2984
code,33,5000,Unique,16
code,33,5000,Shared,4984
code,34,50,Unique,5
code,34,50,Shared,45
code,34,100,Unique,6
code,34,100,Shared,94
code,34,500,Unique,11
code,34,500,Shared,489
code,34,1000,Unique,11
code,34,1000,Shared,989
code,34,2000,Unique,11
code,34,2000,Shared,1989
code,34,3000,Unique,11
code,34,3000,Shared,2989
code,34,5000,Unique,11
code,34,5000,Shared,4989
code,35,50,Unique,3
code,35,50,Shared,47
code,35,100,Unique,9
code,35,100,Shared,91
code,35,500,Unique,9
code,35,500,Shared,491
code,35,1000,Unique,9
code,35,1000,Shared,991
code,35,2000,Unique,9
code,35,2000,Shared,1991
