Task,Layer,TopK,Metric,Value
sql,27,2000,Unique,130
sql,27,2000,Shared,1870
sql,27,3000,Unique,246
sql,27,3000,Shared,2754
sql,27,5000,Unique,977
sql,27,5000,Shared,4023
sql,28,50,Unique,1
sql,28,50,Shared,49
sql,28,100,Unique,4
sql,28,100,Shared,96
sql,28,500,Unique,43
sql,28,500,Shared,457
sql,28,1000,Unique,92
sql,28,1000,Shared,908
sql,28,2000,Unique,132
sql,28,2000,Shared,1868
sql,28,3000,Unique,150
sql,28,3000,Shared,2850
sql,28,5000,Unique,613
sql,28,5000,Shared,4387
sql,29,50,Unique,1
sql,29,50,Shared,49
sql,29,100,Unique,6
sql,29,100,Shared,94
sql,29,500,Unique,38
sql,29,500,Shared,462
sql,29,1000,Unique,69
sql,29,1000,Shared,931
sql,29,2000,Unique,114
sql,29,2000,Shared,1886
sql,29,3000,Unique,169
sql,29,3000,Shared,2831
sql,29,5000,Unique,1070
sql,29,5000,Shared,3930
sql,30,50,Unique,2
sql,30,50,Shared,48
sql,30,100,Unique,5
sql,30,100,Shared,95
sql,30,500,Unique,29
sql,30,500,Shared,471
sql,30,1000,Unique,57
sql,30,1000,Shared,943
sql,30,2000,Unique,91
sql,30,2000,Shared,1909
sql,30,3000,Unique,151
sql,30,3000,Shared,2849
sql,30,5000,Unique,964
sql,30,5000,Shared,4036
sql,31,50,Unique,0
sql,31,50,Shared,50
sql,31,100,Unique,7
sql,31,100,Shared,93
sql,31,500,Unique,31
sql,31,500,Shared,469
sql,31,1000,Unique,54
sql,31,1000,Shared,946
sql,31,2000,Unique,82
sql,31,2000,Shared,1918
sql,31,3000,Unique,90
sql,31,3000,Shared,2910
sql,31,5000,Unique,781
sql,31,5000,Shared,4219
sql,32,50,Unique,2
sql,32,50,Shared,48
sql,32,100,Unique,9
sql,32,100,Shared,91
sql,32,500,Unique,36
sql,32,500,Shared,464
sql,32,1000,Unique,55
sql,32,1000,Shared,945
sql,32,2000,Unique,80
sql,32,2000,Shared,1920
sql,32,3000,Unique,115
sql,32,3000,Shared,2885
sql,32,5000,Unique,908
sql,32,5000,Shared,4092
sql,33,50,Unique,3
sql,33,50,Shared,47
sql,33,100,Unique,7
sql,33,100,Shared,93
sql,33,500,Unique,36
sql,33,500,Shared,464
sql,33,1000,Unique,60
sql,33,1000,Shared,940
sql,33,2000,Unique,92
sql,33,2000,Shared,1908
sql,33,3000,Unique,112
sql,33,3000,Shared,2888
sql,33,5000,Unique,644
sql,33,5000,Shared,4356
sql,34,50,Unique,1
sql,34,50,Shared,49
sql,34,100,Unique,10
sql,34,100,Shared,90
sql,34,500,Unique,42
sql,34,500,Shared,458
sql,34,1000,Unique,62
sql,34,1000,Shared,938
sql,34,2000,Unique,73
sql,34,2000,Shared,1927
sql,34,3000,Unique,88
sql,34,3000,Shared,2912
sql,34,5000,Unique,730
sql,34,5000,Shared,4270
sql,35,50,Unique,4
sql,35,50,Shared,46
sql,35,100,Unique,14
sql,35,100,Shared,86
sql,35,500,Unique,29
sql,35,500,Shared,471
sql,35,1000,Unique,47
sql,35,1000,Shared,953
sql,35,2000,Unique,58
sql,35,2000,Shared,1942
sql,35,3000,Unique,69
sql,35,3000,Shared,2931
sql,35,5000,Unique,822
sql,35,5000,Shared,4178
sql,36,50,Unique,4
sql,36,50,Shared,46
sql,36,100,Unique,8
sql,36,100,Shared,92
sql,36,500,Unique,19
sql,36,500,Shared,481
sql,36,1000,Unique,34
sql,36,1000,Shared,966
sql,36,2000,Unique,40
sql,36,2000,Shared,1960
sql,36,3000,Unique,54
sql,36,3000,Shared,2946
sql,36,5000,Unique,1163
sql,36,5000,Shared,3837
sql,37,50,Unique,3
sql,37,50,Shared,47
sql,37,100,Unique,7
sql,37,100,Shared,93
sql,37,500,Unique,22
sql,37,500,Shared,478
sql,37,1000,Unique,36
sql,37,1000,Shared,964
sql,37,2000,Unique,46
sql,37,2000,Shared,1954
sql,37,3000,Unique,57
sql,37,3000,Shared,2943
sql,37,5000,Unique,1157
sql,37,5000,Shared,3843
sql,38,50,Unique,5
sql,38,50,Shared,45
sql,38,100,Unique,5
sql,38,100,Shared,95
sql,38,500,Unique,17
sql,38,500,Shared,483
sql,38,1000,Unique,21
sql,38,1000,Shared,979
sql,38,2000,Unique,30
sql,38,2000,Shared,1970
sql,38,3000,Unique,27
sql,38,3000,Shared,2973
sql,38,5000,Unique,983
sql,38,5000,Shared,4017
sql,39,50,Unique,4
sql,39,50,Shared,46
sql,39,100,Unique,3
sql,39,100,Shared,97
sql,39,500,Unique,10
sql,39,500,Shared,490
sql,39,1000,Unique,14
sql,39,1000,Shared,986
sql,39,2000,Unique,21
sql,39,2000,Shared,1979
sql,39,3000,Unique,408
sql,39,3000,Shared,2592
sql,39,5000,Unique,897
sql,39,5000,Shared,4103
sql,40,50,Unique,0
sql,40,50,Shared,50
sql,40,100,Unique,0
sql,40,100,Shared,100
sql,40,500,Unique,0
sql,40,500,Shared,500
sql,40,1000,Unique,0
sql,40,1000,Shared,1000
sql,40,2000,Unique,0
sql,40,2000,Shared,2000
sql,40,3000,Unique,0
sql,40,3000,Shared,3000
sql,40,5000,Unique,0
sql,40,5000,Shared,5000
sql,41,50,Unique,0
sql,41,50,Shared,50
sql,41,100,Unique,0
sql,41,100,Shared,100
sql,41,500,Unique,0
sql,41,500,Shared,500
sql,41,1000,Unique,0
sql,41,1000,Shared,1000
sql,41,2000,Unique,0
sql,41,2000,Shared,2000
sql,41,3000,Unique,0
sql,41,3000,Shared,3000
sql,41,5000,Unique,0
sql,41,5000,Shared,5000
